lat,lon,object_class,geometry
40.6438222,109.7525888,cooling_tower,POINT (109.7525888 40.6438222)
40.6400452,109.7503354,cooling_tower,POINT (109.7503354 40.6400452)
40.6613710,109.7595615,cooling_tower,POINT (109.7595615 40.661371)
40.6592564,109.7604530,cooling_tower,POINT (109.760453 40.6592564)
40.6588387,109.7594551,cooling_tower,POINT (109.7594551 40.6588387)
40.6558244,109.7557939,cooling_tower,POINT (109.7557939 40.6558244)
40.6447758,109.7518952,cooling_tower,POINT (109.7518952 40.6447758)
40.5765816,110.0730200,cooling_tower,POINT (110.07302 40.5765816)
40.5766000,110.0745279,cooling_tower,POINT (110.0745279 40.5766)
37.9232340,-87.0337752,cooling_tower,POINT (-87.03377519999999 37.923234)
37.9279706,-87.0340279,cooling_tower,POINT (-87.0340279 37.9279706)
49.7109131,8.4123952,cooling_tower,POINT (8.412395200000001 49.7109131)
49.7105884,8.4109378,cooling_tower,POINT (8.410937799999999 49.7105884)
49.7116441,8.4185509,cooling_tower,POINT (8.4185509 49.7116441)
49.7118773,8.4200392,cooling_tower,POINT (8.4200392 49.7118773)
50.9961134,6.6714096,cooling_tower,POINT (6.6714096 50.9961134)
28.1603237,78.4091917,cooling_tower,POINT (78.40919169999999 28.1603237)
28.1593657,78.4080398,cooling_tower,POINT (78.4080398 28.1593657)
49.2941951,6.7724708,cooling_tower,POINT (6.7724708 49.2941951)
47.7165647,1.5784222,cooling_tower,POINT (1.5784222 47.7165647)
47.7180597,1.5761460,cooling_tower,POINT (1.576146 47.7180597)
-32.3931470,150.9452591,cooling_tower,POINT (150.9452591 -32.393147)
-32.3944891,150.9444753,cooling_tower,POINT (150.9444753 -32.3944891)
52.4202096,9.6463698,cooling_tower,POINT (9.6463698 52.4202096)
39.6292371,29.4646058,cooling_tower,POINT (29.4646058 39.6292371)
51.5500145,7.1867983,cooling_tower,POINT (7.1867983 51.5500145)
51.8377140,14.4545789,cooling_tower,POINT (14.4545789 51.837714)
51.8356095,14.4576932,cooling_tower,POINT (14.4576932 51.8356095)
51.8376030,14.4629533,cooling_tower,POINT (14.4629533 51.837603)
51.8366713,14.4540228,cooling_tower,POINT (14.4540228 51.8366713)
51.8356673,14.4535201,cooling_tower,POINT (14.4535201 51.8356673)
51.8355229,14.4618545,cooling_tower,POINT (14.4618545 51.8355229)
51.8376595,14.4587736,cooling_tower,POINT (14.4587736 51.8376595)
51.8365846,14.4624390,cooling_tower,POINT (14.462439 51.8365846)
51.8366083,14.4582210,cooling_tower,POINT (14.458221 51.8366083)
40.2267393,-75.5857690,cooling_tower,POINT (-75.585769 40.2267393)
40.2268167,-75.5884870,cooling_tower,POINT (-75.588487 40.2268167)
49.7394160,13.3468611,cooling_tower,POINT (13.3468611 49.739416)
48.2703664,18.4603813,cooling_tower,POINT (18.4603813 48.2703664)
48.2530171,18.4558854,cooling_tower,POINT (18.4558854 48.2530171)
48.2691493,18.4611982,cooling_tower,POINT (18.4611982 48.2691493)
48.2516714,18.4560504,cooling_tower,POINT (18.4560504 48.2516714)
48.2664939,18.4618672,cooling_tower,POINT (18.4618672 48.2664939)
48.2517835,18.4580651,cooling_tower,POINT (18.4580651 48.2517835)
48.2678497,18.4617174,cooling_tower,POINT (18.4617174 48.2678497)
48.2531289,18.4578962,cooling_tower,POINT (18.4578962 48.2531289)
52.8637034,-1.2612924,cooling_tower,POINT (-1.2612924 52.8637034)
52.8631210,-1.2594482,cooling_tower,POINT (-1.2594482 52.863121)
52.8623946,-1.2611593,cooling_tower,POINT (-1.2611593 52.8623946)
52.8664537,-1.2615735,cooling_tower,POINT (-1.2615735 52.8664537)
52.8644508,-1.2596040,cooling_tower,POINT (-1.259604 52.8644508)
52.8658824,-1.2597673,cooling_tower,POINT (-1.2597673 52.8658824)
